patch	name	type	partial_mask	partial	block_addr	region_off	fine	set	vsel_addr	vel_splits	set_idx_per_velzone
197	  Pan Flute 2   	20	11	1	05E225	3E225	05	80	076B1D	7F/7F/7F	17/17/17/17
198	 Synth Calliope 	20	15	0	05E2DC	3E2DC	68	01	077696	7F/7F/7F	284/284/284/284
198	 Synth Calliope 	20	15	1	05E32D	3E32D	48	00	0772B8	7F/7F/7F	194/194/194/194
198	 Synth Calliope 	20	15	2	05E37E	3E37E	05	80	076B1D	7F/7F/7F	17/17/17/17
199	    Recorder    	20	01	0	05E435	3E435	4A	00	0772FA	7F/7F/7F	200/200/200/200
200	    Ocarina     	20	01	0	05E4EC	3E4EC	4A	01	077305	7F/7F/7F	201/201/201/201
201	  Blown Bottle  	20	15	0	05E5A3	3E5A3	48	00	0772B8	7F/7F/7F	194/194/194/194
201	  Blown Bottle  	20	15	1	05E5F4	3E5F4	08	00	076B8B	7F/7F/7F	28/28/28/28
201	  Blown Bottle  	20	15	2	05E645	3E645	05	80	076B1D	7F/7F/7F	17/17/17/17
202	    Whistle     	20	01	0	05E6FC	3E6FC	6F	00	077704	7F/7F/7F	294/294/294/294
203	   Shakuhachi   	20	01	0	05E7B3	3E7B3	4B	00	077310	7F/7F/7F	202/202/202/202
204	     Quena      	20	15	0	05E86A	3E86A	4B	00	077310	7F/7F/7F	202/202/202/202
204	     Quena      	20	15	1	05E8BB	3E8BB	48	00	0772B8	7F/7F/7F	194/194/194/194
204	     Quena      	20	15	2	05E90C	3E90C	05	80	076B1D	7F/7F/7F	17/17/17/17
205	      Ney       	20	11	0	05E9C3	3E9C3	49	02	0772EF	7F/7F/7F	198/198/198/198
205	      Ney       	20	11	1	05EA14	3EA14	05	80	076B1D	7F/7F/7F	17/17/17/17
206	 Chopper Flute  	20	15	0	05EACB	3EACB	41	00	07721E	7F/7F/7F	180/180/180/180
206	 Chopper Flute  	20	15	1	05EB1C	3EB1C	2D	00	076FB6	7F/7F/7F	124/124/124/124
206	 Chopper Flute  	20	15	2	05EB6D	3EB6D	46	80	0772AD	7F/7F/7F	193/193/193/193
207	 Penny Whistle  	20	01	0	05EC24	3EC24	48	04	0772CE	7F/7F/7F	195/195/195/195
208	Marching Whistle	20	55	0	05ECDB	3ECDB	6F	00	077704	7F/7F/7F	294/294/294/294
208	Marching Whistle	20	55	1	05ED2C	3ED2C	6F	00	077704	7F/7F/7F	294/294/294/294
208	Marching Whistle	20	55	2	05ED7D	3ED7D	6F	00	077704	7F/7F/7F	294/294/294/294
208	Marching Whistle	20	55	3	05EDCE	3EDCE	6F	00	077704	7F/7F/7F	294/294/294/294
209	  Chiff Flute   	20	15	0	05EE85	3EE85	41	00	07721E	7F/7F/7F	180/180/180/180
209	  Chiff Flute   	20	15	1	05EED6	3EED6	41	00	07721E	7F/7F/7F	180/180/180/180
209	  Chiff Flute   	20	15	2	05EF27	3EF27	05	80	076B1D	7F/7F/7F	17/17/17/17
210	 Acoustic Bass  	20	01	0	05EFDE	3EFDE	2B	00	076F7F	7F/7F/7F	119/119/119/119
211	 Mellow Ac.Bass 	20	01	0	05F095	3F095	2B	01	076F8A	7F/7F/7F	120/120/120/120
212	 Electric Bass  	20	01	0	05F14C	3F14C	28	00	076EAE	7F/7F/7F	102/102/102/102
213	 Bright E.Bass  	20	01	0	05F203	3F203	28	01	076EC4	7F/7F/7F	103/103/103/103
214	 Fusion E.Bass  	20	01	0	05F2BA	3F2BA	28	04	076EF0	7F/7F/7F	106/106/106/106
215	  Funky E.Bass  	20	01	0	05F371	3F371	28	03	076EE5	7F/7F/7F	105/105/105/105
216	 Fretless Bass  	20	01	0	05F428	3F428	28	02	076EDA	7F/7F/7F	104/104/104/104
217	 Picked E.Bass  	20	01	0	05F4DF	3F4DF	2A	00	076F53	7F/7F/7F	115/115/115/115
218	   Mute Bass    	20	01	0	05F596	3F596	2F	00	077024	7F/7F/7F	134/134/134/134
219	  Slap Bass 1   	20	05	0	05F64D	3F64D	29	00	076F06	7F/7F/7F	110/110/110/110
219	  Slap Bass 1   	20	05	1	05F69E	3F69E	29	04	076F3D	60/7F/7F	110/112/112/112
220	  Slap Bass 2   	20	05	0	05F755	3F755	29	01	076F1C	7F/7F/7F	111/111/111/111
220	  Slap Bass 2   	20	05	1	05F7A6	3F7A6	29	05	076F48	60/7F/7F	111/113/113/113
221	  Killer Bass   	20	01	0	05F85D	3F85D	77	06	0777F6	7F/7F/7F	316/316/316/316
222	  Analog Bass   	20	01	0	05F914	3F914	2E	04	077019	7F/7F/7F	132/132/132/132
223	   Soul Bass    	20	01	0	05F9CB	3F9CB	2D	05	076FE2	7F/7F/7F	127/127/127/127
224	    Wow Bass    	20	01	0	05FA82	3FA82	78	00	077801	7F/7F/7F	317/317/317/317
225	   Dance Bass   	20	05	0	05FB39	3FB39	2F	03	077045	7F/7F/7F	136/136/136/136
225	   Dance Bass   	20	05	1	05FB8A	3FB8A	2D	05	076FE2	7F/7F/7F	127/127/127/127
226	   House Bass   	20	01	0	05FC41	3FC41	2F	02	07703A	7F/7F/7F	135/135/135/135
227	  Plastic Bass  	20	05	0	05FCF8	3FCF8	2E	02	07700E	7F/7F/7F	131/131/131/131
227	  Plastic Bass  	20	05	1	05FD49	3FD49	2D	06	076FED	7F/7F/7F	128/128/128/128
228	Basic Synth Bass	20	05	0	05FE00	3FE00	2D	05	076FE2	7F/7F/7F	127/127/127/127
228	Basic Synth Bass	20	05	1	05FE51	3FE51	2E	04	077019	7F/7F/7F	132/132/132/132
229	  Techno Bass   	20	05	0	05FF08	3FF08	7C	00	0778B1	7F/7F/7F	332/332/332/332
229	  Techno Bass   	20	05	1	05FF59	3FF59	7C	00	0778B1	7F/7F/7F	332/332/332/332
230	     Agogo      	10	01	0	060010	40010	59	80	077515	7F/7F/7F	249/249/249/249
231	   Wood Block   	10	01	0	0600C7	400C7	4B	80	07731B	7F/7F/7F	203/203/203/203
232	   Taiko Drum   	30	01	0	06017E	4017E	40	80	0771FD	7F/7F/7F	178/178/178/178
233	  Melodic Tom   	30	01	0	060235	40235	2A	80	076F5E	7F/7F/7F	118/118/118/118
234	   Synth Drum   	30	01	0	0602EC	402EC	2C	80	076F95	7F/7F/7F	122/122/122/122
235	 Reverse Cymbal 	00	01	0	0603A3	403A3	3F	80	0771DC	7F/7F/7F	174/174/174/174
236	   Fret Noise   	00	01	0	06045A	4045A	15	80	076C93	7F/7F/7F	53/53/53/53
237	  Breath Noise  	00	01	0	060511	40511	05	80	076B1D	7F/7F/7F	17/17/17/17
238	    Seashore    	00	55	0	0605C8	405C8	76	80	077793	7F/7F/7F	310/310/310/310
238	    Seashore    	00	55	1	060619	40619	76	80	077793	7F/7F/7F	310/310/310/310
238	    Seashore    	00	55	2	06066A	4066A	76	83	0777BF	7F/7F/7F	313/313/313/313
238	    Seashore    	00	55	3	0606BB	406BB	76	84	0777D5	7F/7F/7F	314/314/314/314
239	   Bird Tweet   	00	05	0	060772	40772	62	80	077607	7F/7F/7F	271/271/271/271
239	   Bird Tweet   	00	05	1	0607C3	407C3	61	80	0775E6	7F/7F/7F	269/269/269/269
240	   Telephone    	00	01	0	06087A	4087A	72	80	07775C	7F/7F/7F	302/302/302/302
241	   Helicopter   	00	01	0	060931	40931	70	80	07771A	7F/7F/7F	300/300/300/300
242	    Applause    	00	05	0	0609E8	409E8	74	80	07777D	7F/7F/7F	305/305/305/305
242	    Applause    	00	05	1	060A39	40A39	74	80	07777D	7F/7F/7F	305/305/305/305
243	    Gun Shot    	10	15	0	060AF0	40AF0	66	80	07766A	7F/7F/7F	281/281/281/281
