patch	name	type	partial_mask	partial	block_addr	region_off	fine	set	vsel_addr	vel_splits	set_idx_per_velzone
295	  Chamber Orch  	00	55	1	0649BD	449BD	65	01	077654	7F/7F/7F	278/278/278/278
295	  Chamber Orch  	00	55	2	064A0E	44A0E	10	00	076C1A	7F/7F/7F	41/41/41/41
295	  Chamber Orch  	00	55	3	064A5F	44A5F	4A	00	0772FA	7F/7F/7F	200/200/200/200
296	   Cathedral    	00	55	0	064B16	44B16	68	02	0776A1	7F/7F/7F	285/285/285/285
296	   Cathedral    	00	55	1	064B67	44B67	54	00	077486	7F/7F/7F	236/236/236/236
296	   Cathedral    	00	55	2	064BB8	44BB8	56	04	0774D3	7F/7F/7F	241/241/241/241
296	   Cathedral    	00	55	3	064C09	44C09	56	05	0774DE	7F/7F/7F	242/242/242/242
297	 Movie Musical  	20	55	0	064CC0	44CC0	64	00	07761D	7F/7F/7F	273/273/273/273
297	 Movie Musical  	20	55	1	064D11	44D11	36	01	0770F5	7F/7F/7F	153/153/153/153
297	 Movie Musical  	20	55	2	064D62	44D62	41	01	077234	7F/7F/7F	181/181/181/181
297	 Movie Musical  	20	55	3	064DB3	44DB3	09	00	076B96	7F/7F/7F	29/29/29/29
298	Field of Voices 	20	15	0	064E6A	44E6A	6B	01	0776D8	7F/7F/7F	289/289/289/289
298	Field of Voices 	20	15	1	064EBB	44EBB	68	04	0776AC	7F/7F/7F	286/286/286/286
298	Field of Voices 	20	15	2	064F0C	44F0C	69	00	0776C2	7F/7F/7F	288/288/288/288
299	 Horns & Woods  	20	55	0	064FC3	44FC3	44	00	077260	7F/7F/7F	186/186/186/186
299	 Horns & Woods  	20	55	1	065014	45014	41	01	077234	7F/7F/7F	181/181/181/181
299	 Horns & Woods  	20	55	2	065065	45065	36	00	0770EA	7F/7F/7F	152/152/152/152
299	 Horns & Woods  	20	55	3	0650B6	450B6	41	00	07721E	7F/7F/7F	180/180/180/180
300	Dark Movie Scene	20	15	0	06516D	4516D	67	04	07768B	7F/7F/7F	283/283/283/283
300	Dark Movie Scene	20	15	1	0651BE	451BE	77	00	0777EB	7F/7F/7F	315/315/315/315
300	Dark Movie Scene	20	15	2	06520F	4520F	76	06	0777E0	7F/7F/7F	309/309/309/309
301	Orchestral Sweep	20	55	0	0652C6	452C6	67	00	077680	7F/7F/7F	282/282/282/282
301	Orchestral Sweep	20	55	1	065317	45317	36	00	0770EA	7F/7F/7F	152/152/152/152
301	Orchestral Sweep	20	55	2	065368	45368	64	02	077628	7F/7F/7F	274/274/274/274
301	Orchestral Sweep	20	55	3	0653B9	453B9	68	02	0776A1	7F/7F/7F	285/285/285/285
302	 Moonlight Pad  	20	15	0	065470	45470	20	00	076DDD	7F/7F/7F	83/83/83/83
302	 Moonlight Pad  	20	15	1	0654C1	454C1	68	01	077696	7F/7F/7F	284/284/284/284
302	 Moonlight Pad  	20	15	2	065512	45512	5B	80	077536	7F/7F/7F	254/254/254/254
303	 Orchestra Pizz 	00	55	0	0655C9	455C9	64	00	07761D	7F/7F/7F	273/273/273/273
303	 Orchestra Pizz 	00	55	1	06561A	4561A	42	00	07723F	7F/7F/7F	183/183/183/183
303	 Orchestra Pizz 	00	55	2	06566B	4566B	63	00	077612	7F/7F/7F	272/272/272/272
303	 Orchestra Pizz 	00	55	3	0656BC	456BC	41	01	077234	7F/7F/7F	181/181/181/181
304	Synth Orchestra 	20	55	0	065773	45773	77	00	0777EB	7F/7F/7F	315/315/315/315
304	Synth Orchestra 	20	55	1	0657C4	457C4	6B	01	0776D8	7F/7F/7F	289/289/289/289
304	Synth Orchestra 	20	55	2	065815	45815	3B	00	077184	7F/7F/7F	166/166/166/166
304	Synth Orchestra 	20	55	3	065866	45866	39	00	077137	7F/7F/7F	159/159/159/159
305	 Unison Strings 	20	55	0	06591D	4591D	66	00	07765F	7F/7F/7F	279/279/279/279
305	 Unison Strings 	20	55	1	06596E	4596E	66	04	077675	7F/7F/7F	280/280/280/280
305	 Unison Strings 	20	55	2	0659BF	459BF	65	00	077649	7F/7F/7F	277/277/277/277
305	 Unison Strings 	20	55	3	065A10	45A10	65	01	077654	7F/7F/7F	278/278/278/278
306	Springtime Orch 	20	55	0	065AC7	45AC7	67	00	077680	7F/7F/7F	282/282/282/282
306	Springtime Orch 	20	55	1	065B18	45B18	40	01	077208	7F/7F/7F	177/177/177/177
306	Springtime Orch 	20	55	2	065B69	45B69	0C	00	076BB7	7F/7F/7F	32/32/32/32
306	Springtime Orch 	20	55	3	065BBA	45BBA	0E	00	076BE3	7F/7F/7F	36/36/36/36
307	 Dreamy Strings 	20	15	0	065C71	45C71	64	00	07761D	7F/7F/7F	273/273/273/273
307	 Dreamy Strings 	20	15	1	065CC2	45CC2	64	00	07761D	7F/7F/7F	273/273/273/273
307	 Dreamy Strings 	20	15	2	065D13	45D13	65	01	077654	7F/7F/7F	278/278/278/278
308	   Many Horns   	20	15	0	065DCA	45DCA	36	00	0770EA	7F/7F/7F	152/152/152/152
308	   Many Horns   	20	15	1	065E1B	45E1B	36	01	0770F5	7F/7F/7F	153/153/153/153
308	   Many Horns   	20	15	2	065E6C	45E6C	34	00	0770B3	7F/7F/7F	147/147/147/147
309	  Big Band Pad  	20	15	0	065F23	45F23	79	01	07784E	7F/7F/7F	324/324/324/324
309	  Big Band Pad  	20	15	1	065F74	45F74	33	00	07709D	7F/7F/7F	145/145/145/145
309	  Big Band Pad  	20	15	2	065FC5	45FC5	4C	01	07733C	7F/7F/7F	205/205/205/205
312	   Brush Kit    	80	03	0	0838F0	638F0	05	2A	076B1D	7F/7F/7F	17/17/17/17
324	   Dance Kit    	80	04	0	083A17	63A17	0A	29	076B75	7F/7F/7F	26/26/26/26
325	   House Kit    	80	04	0	083B3E	63B3E	0B	29	076BC2	7F/7F/7F	33/33/33/33
327	  Electric Kit  	80	04	0	083D8C	63D8C	02	2A	076AF1	7F/7F/7F	7/7/7/7
329	   Synth Kit    	80	04	0	084B60	64B60	04	2A	076AF1	7F/7F/7F	7/7/7/7
330	 Orchestral Kit 	80	06	0	083EB3	63EB3	0C	2A	076BC2	7F/7F/7F	33/33/33/33
332	Sound Effect Kit	80	05	0	084C87	64C87	0D	11	076BD8	7F/7F/7F	35/35/35/35
332	Sound Effect Kit	80	05	1	084CD8	64CD8	00	00	076AA4	7F/7F/7F	0/0/0/0
336	<Jazz Drawbars> 	60	01	0	090723	70723	88	C8	076B75	7F/7F/7F	26/26/26/26
337	<Rock Drawbars> 	60	01	0	0908CD	708CD	88	C8	076B75	7F/7F/7F	26/26/26/26
338	  Rock Piano 2  	10	05	0	07181E	5181E	00	01	076ABA	7F/7F/7F	1/1/1/1
338	  Rock Piano 2  	10	05	1	07186F	5186F	01	04	076AE6	7F/7F/7F	6/6/6/6
339	  Midi Grand 2  	10	15	0	0719C8	519C8	00	00	076AA4	7F/7F/7F	0/0/0/0
339	  Midi Grand 2  	10	15	1	071A19	51A19	6B	01	0776D8	7F/7F/7F	289/289/289/289
339	  Midi Grand 2  	10	15	2	071A6A	51A6A	68	01	077696	7F/7F/7F	284/284/284/284
340	   Bell Piano   	10	15	0	071B72	51B72	06	00	076B49	3B/4F/63	22/23/19/24
340	   Bell Piano   	10	15	1	071BC3	51BC3	06	02	076B5F	7F/7F/7F	21/21/21/21
340	   Bell Piano   	10	15	2	071C14	51C14	70	03	077730	7F/7F/7F	297/297/297/297
341	  Crystal E.P.  	10	11	0	071D1C	51D1C	06	01	076B54	7F/7F/7F	20/20/20/20
341	  Crystal E.P.  	10	11	1	071D6D	51D6D	06	00	076B49	3B/4F/63	22/23/19/24
342	  Jangle Piano  	10	15	0	071EC6	51EC6	00	00	076AA4	7F/7F/7F	0/0/0/0
342	  Jangle Piano  	10	15	1	071F17	51F17	10	02	076C30	7F/7F/7F	42/42/42/42
342	  Jangle Piano  	10	15	2	071F68	51F68	03	00	076AFC	7F/7F/7F	8/8/8/8
343	   Fancy Folk   	20	05	0	072070	52070	23	00	076E2A	7F/7F/7F	90/90/90/90
343	   Fancy Folk   	20	05	1	0720C1	520C1	7A	00	077859	7F/7F/7F	325/325/325/325
344	  Midi Guitar   	20	15	0	07221A	5221A	1A	00	076D22	7F/7F/7F	66/66/66/66
344	  Midi Guitar   	20	15	1	07226B	5226B	3C	01	0771A5	7F/7F/7F	168/168/168/168
344	  Midi Guitar   	20	15	2	0722BC	522BC	68	01	077696	7F/7F/7F	284/284/284/284
345	SynthJazzGuitar 	20	01	0	0723C4	523C4	7A	00	077859	7F/7F/7F	325/325/325/325
346	Synth Strings 3 	20	11	0	07256E	5256E	77	06	0777F6	7F/7F/7F	316/316/316/316
346	Synth Strings 3 	20	11	1	0725BF	525BF	00	00	076AA4	7F/7F/7F	0/0/0/0
347	Synth Strings 4 	20	05	0	072718	52718	76	06	0777E0	7F/7F/7F	309/309/309/309
347	Synth Strings 4 	20	05	1	072769	52769	76	02	0777A9	7F/7F/7F	307/307/307/307
348	Mute Brass Ens. 	20	15	0	0728C2	528C2	32	00	077087	7F/7F/7F	143/143/143/143
348	Mute Brass Ens. 	20	15	1	072913	52913	34	03	0770C9	7F/7F/7F	148/148/148/148
348	Mute Brass Ens. 	20	15	2	072964	52964	34	03	0770C9	7F/7F/7F	148/148/148/148
349	  Stereo Brass  	20	05	0	072A6C	52A6C	39	00	077137	7F/7F/7F	159/159/159/159
349	  Stereo Brass  	20	05	1	072ABD	52ABD	38	00	077121	7F/7F/7F	157/157/157/157
350	    Unihorns    	20	15	0	072C16	52C16	3B	00	077184	7F/7F/7F	166/166/166/166
350	    Unihorns    	20	15	1	072C67	52C67	3B	00	077184	7F/7F/7F	166/166/166/166
350	    Unihorns    	20	15	2	072CB8	52CB8	3B	00	077184	7F/7F/7F	166/166/166/166
351	 Bright S.Brass 	20	05	0	072DC0	52DC0	3C	03	0771B0	7F/7F/7F	169/169/169/169
351	 Bright S.Brass 	20	05	1	072E11	52E11	7C	00	0778B1	7F/7F/7F	332/332/332/332
352	 Old Wow Brass  	20	11	0	072F6A	52F6A	34	00	0770B3	7F/7F/7F	147/147/147/147
352	 Old Wow Brass  	20	11	1	072FBB	52FBB	34	00	0770B3	7F/7F/7F	147/147/147/147
353	   Digi Organ   	20	11	0	073114	53114	06	02	076B5F	7F/7F/7F	21/21/21/21
353	   Digi Organ   	20	11	1	073165	53165	59	00	07750A	7F/7F/7F	248/248/248/248
354	  Misty Flute   	20	15	0	0732BE	532BE	41	00	07721E	7F/7F/7F	180/180/180/180
354	  Misty Flute   	20	15	1	07330F	5330F	6B	02	0776E3	7F/7F/7F	290/290/290/290
354	  Misty Flute   	20	15	2	073360	53360	05	80	076B1D	7F/7F/7F	17/17/17/17
355	 Straight Bass  	20	01	0	073468	53468	2D	03	076FCC	7F/7F/7F	125/125/125/125
356	    Wet Bass    	20	11	0	073612	53612	2E	02	07700E	7F/7F/7F	131/131/131/131
356	    Wet Bass    	20	11	1	073663	53663	78	02	077817	7F/7F/7F	319/319/319/319
357	 Analog Bass 2  	20	01	0	0737BC	537BC	2E	01	077003	7F/7F/7F	130/130/130/130
358	   Clavi Lead   	20	11	0	073966	53966	7C	00	0778B1	7F/7F/7F	332/332/332/332
358	   Clavi Lead   	20	11	1	0739B7	539B7	7A	00	077859	7F/7F/7F	325/325/325/325
359	    Telstar     	20	11	0	073B10	53B10	76	06	0777E0	7F/7F/7F	309/309/309/309
359	    Telstar     	20	11	1	073B61	53B61	59	00	07750A	7F/7F/7F	248/248/248/248
360	  Sleigh Synth  	20	05	0	073CBA	53CBA	06	02	076B5F	7F/7F/7F	21/21/21/21
360	  Sleigh Synth  	20	05	1	073D0B	53D0B	3C	01	0771A5	7F/7F/7F	168/168/168/168
361	     Sweppy     	20	05	0	073E64	53E64	78	01	07780C	7F/7F/7F	318/318/318/318
361	     Sweppy     	20	05	1	073EB5	53EB5	78	01	07780C	7F/7F/7F	318/318/318/318
362	  Synth Chimes  	20	05	0	07400E	5400E	76	00	077788	7F/7F/7F	306/306/306/306
362	  Synth Chimes  	20	05	1	07405F	5405F	7B	01	07789B	7F/7F/7F	330/330/330/330
363	 Knock Whistle  	20	15	0	0741B8	541B8	6F	00	077704	7F/7F/7F	294/294/294/294
363	 Knock Whistle  	20	15	1	074209	54209	0C	81	076BCD	7F/7F/7F	34/34/34/34
363	 Knock Whistle  	20	15	2	07425A	5425A	4B	80	07731B	7F/7F/7F	203/203/203/203
364	 Fusion Lead 1  	20	05	0	074362	54362	70	01	07770F	7F/7F/7F	295/295/295/295
364	 Fusion Lead 1  	20	05	1	0743B3	543B3	70	00	07770F	7F/7F/7F	295/295/295/295
365	 Fusion Lead 2  	20	05	0	07450C	5450C	78	02	077817	7F/7F/7F	319/319/319/319
365	 Fusion Lead 2  	20	05	1	07455D	5455D	7B	00	077890	7F/7F/7F	329/329/329/329
366	   Synth Slap   	20	05	0	0746B6	546B6	2E	02	07700E	7F/7F/7F	131/131/131/131
366	   Synth Slap   	20	05	1	074707	54707	29	01	076F1C	7F/7F/7F	111/111/111/111
367	  Voxmosphere   	20	15	0	074860	54860	23	00	076E2A	7F/7F/7F	90/90/90/90
367	  Voxmosphere   	20	15	1	0748B1	548B1	76	00	077788	7F/7F/7F	306/306/306/306
367	  Voxmosphere   	20	15	2	074902	54902	6B	02	0776E3	7F/7F/7F	290/290/290/290
368	    Glimmer     	20	05	0	074A0A	54A0A	76	00	077788	7F/7F/7F	306/306/306/306
368	    Glimmer     	20	05	1	074A5B	54A5B	06	02	076B5F	7F/7F/7F	21/21/21/21
369	 Happy Ensemble 	20	05	0	074BB4	54BB4	5E	00	077599	7F/7F/7F	260/260/260/260
369	 Happy Ensemble 	20	05	1	074C05	54C05	6B	01	0776D8	7F/7F/7F	289/289/289/289
370	  Synth Voices  	20	15	0	074D5E	54D5E	68	01	077696	7F/7F/7F	284/284/284/284
370	  Synth Voices  	20	15	1	074DAF	54DAF	68	01	077696	7F/7F/7F	284/284/284/284
370	  Synth Voices  	20	15	2	074E00	54E00	77	01	077788	7F/7F/7F	306/306/306/306
371	 Dark Universe  	20	55	0	074F08	54F08	6B	01	0776D8	7F/7F/7F	289/289/289/289
371	 Dark Universe  	20	55	1	074F59	54F59	68	04	0776AC	7F/7F/7F	286/286/286/286
371	 Dark Universe  	20	55	2	074FAA	54FAA	6B	01	0776D8	7F/7F/7F	289/289/289/289
371	 Dark Universe  	20	55	3	074FFB	54FFB	5C	80	07756D	7F/7F/7F	257/257/257/257
372	  Windy Sweep   	20	15	0	0750B2	550B2	76	00	077788	7F/7F/7F	306/306/306/306
372	  Windy Sweep   	20	15	1	075103	55103	76	00	077788	7F/7F/7F	306/306/306/306
372	  Windy Sweep   	20	15	2	075154	55154	0C	81	076BCD	7F/7F/7F	34/34/34/34
373	   Piano Trio   	20	55	0	07525C	5525C	2B	00	076F7F	7F/7F/7F	119/119/119/119
373	   Piano Trio   	20	55	1	0752AD	552AD	3D	80	0771BB	7F/7F/7F	172/172/172/172
373	   Piano Trio   	20	55	2	0752FE	552FE	3E	80	0771D1	7F/7F/7F	173/173/173/173
373	   Piano Trio   	20	55	3	07534F	5534F	00	00	076AA4	7F/7F/7F	0/0/0/0
374	   Funk Staff   	20	05	0	075406	55406	78	00	077801	7F/7F/7F	317/317/317/317
374	   Funk Staff   	20	05	1	075457	55457	11	00	076C3B	7F/7F/7F	45/45/45/45
375	    Bonanza     	20	55	0	0755B0	555B0	28	00	076EAE	7F/7F/7F	102/102/102/102
375	    Bonanza     	20	55	1	075601	55601	21	00	076DFE	7F/7F/7F	86/86/86/86
375	    Bonanza     	20	55	2	075652	55652	60	01	0775D0	7F/7F/7F	266/266/266/266
375	    Bonanza     	20	55	3	0756A3	556A3	66	80	07766A	7F/7F/7F	281/281/281/281
376	  Multi Pitch   	20	05	0	07575A	5575A	76	00	077788	7F/7F/7F	306/306/306/306
376	  Multi Pitch   	20	05	1	0757AB	557AB	76	00	077788	7F/7F/7F	306/306/306/306
377	  Under Water   	20	11	0	075904	55904	7B	00	077890	7F/7F/7F	329/329/329/329
377	  Under Water   	20	11	1	075955	55955	68	04	0776AC	7F/7F/7F	286/286/286/286
378	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
378	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
379	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
379	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
380	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
380	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
381	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
381	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
382	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
382	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
383	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
383	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
384	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
384	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
385	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
385	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
386	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
386	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
387	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
387	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
388	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
388	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
389	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
389	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
390	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
390	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
391	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
391	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
392	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
392	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
393	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
393	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
394	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
394	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
395	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
395	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
396	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
396	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
397	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
397	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
398	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
398	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
399	     Piano      	10	05	0	05253A	3253A	00	01	076ABA	7F/7F/7F	1/1/1/1
399	     Piano      	10	05	1	05258B	3258B	00	05	076AC5	7F/7F/7F	2/2/2/2
400	     Piano      	10	01	0	06607C	4607C	00	00	076AA4	7F/7F/7F	0/0/0/0
401	     Piano      	10	01	0	066133	46133	00	00	076AA4	7F/7F/7F	0/0/0/0
402	     Piano      	10	01	0	0661EA	461EA	00	00	076AA4	7F/7F/7F	0/0/0/0
403	  Bright Piano  	10	01	0	0662A1	462A1	01	00	076AD0	7F/7F/7F	4/4/4/4
404	  Bright Piano  	10	01	0	066358	46358	01	00	076AD0	7F/7F/7F	4/4/4/4
405	 Electric Grand 	10	11	0	06640F	4640F	03	00	076AFC	7F/7F/7F	8/8/8/8
405	 Electric Grand 	10	11	1	066460	46460	01	00	076AD0	7F/7F/7F	4/4/4/4
406	 Electric Grand 	10	11	0	066517	46517	03	00	076AFC	7F/7F/7F	8/8/8/8
406	 Electric Grand 	10	11	1	066568	46568	01	00	076AD0	7F/7F/7F	4/4/4/4
407	Honky-Tonk Piano	10	05	0	06661F	4661F	01	00	076AD0	7F/7F/7F	4/4/4/4
407	Honky-Tonk Piano	10	05	1	066670	46670	01	01	076ADB	7F/7F/7F	5/5/5/5
408	Honky-Tonk Piano	10	05	0	066727	46727	01	00	076AD0	7F/7F/7F	4/4/4/4
408	Honky-Tonk Piano	10	05	1	066778	46778	01	01	076ADB	7F/7F/7F	5/5/5/5
409	    E.Piano     	10	01	0	06682F	4682F	05	02	076B33	7F/7F/7F	13/13/13/13
410	    E.Piano     	10	01	0	0668E6	468E6	05	02	076B33	7F/7F/7F	13/13/13/13
411	    E.Piano     	10	01	0	06699D	4699D	05	02	076B33	7F/7F/7F	13/13/13/13
412	    E.Piano     	10	01	0	066A54	46A54	04	00	076B07	59/6D/7F	9/10/12/9
413	  Modern E.P.   	10	01	0	066B0B	46B0B	06	00	076B49	3B/4F/63	22/23/19/24
414	  Modern E.P.   	10	01	0	066BC2	46BC2	06	00	076B49	3B/4F/63	22/23/19/24
415	  Modern E.P.   	10	01	0	066C79	46C79	06	00	076B49	3B/4F/63	22/23/19/24
416	  Harpsichord   	10	41	0	066D30	46D30	10	00	076C1A	7F/7F/7F	41/41/41/41
416	  Harpsichord   	10	41	1	066D81	46D81	1F	80	076DA6	7F/7F/7F	81/81/81/81
417	  Harpsichord   	10	05	0	066E38	46E38	10	00	076C1A	7F/7F/7F	41/41/41/41
417	  Harpsichord   	10	05	1	066E89	46E89	10	00	076C1A	7F/7F/7F	41/41/41/41
418	  Harpsichord   	10	41	0	066F40	46F40	10	00	076C1A	7F/7F/7F	41/41/41/41
418	  Harpsichord   	10	41	1	066F91	46F91	1F	80	076DA6	7F/7F/7F	81/81/81/81
419	  Harpsichord   	10	41	0	067048	47048	10	00	076C1A	7F/7F/7F	41/41/41/41
419	  Harpsichord   	10	41	1	067099	47099	1F	80	076DA6	7F/7F/7F	81/81/81/81
420	     Clavi      	30	41	0	067150	47150	11	00	076C3B	7F/7F/7F	45/45/45/45
420	     Clavi      	30	41	1	0671A1	471A1	1F	84	076DD2	7F/7F/7F	82/82/82/82
421	    Celesta     	10	01	0	067258	47258	0C	00	076BB7	7F/7F/7F	32/32/32/32
422	  Glockenspiel  	10	01	0	06730F	4730F	09	00	076B96	7F/7F/7F	29/29/29/29
423	   Music Box    	10	01	0	0673C6	473C6	07	00	076B6A	7F/7F/7F	25/25/25/25
424	   Vibraphone   	10	01	0	06747D	4747D	08	00	076B8B	7F/7F/7F	28/28/28/28
425	   Vibraphone   	10	01	0	067534	47534	08	00	076B8B	7F/7F/7F	28/28/28/28
426	    Marimba     	10	01	0	0675EB	475EB	0A	00	076BA1	7F/7F/7F	30/30/30/30
427	    Marimba     	10	01	0	0676A2	476A2	0A	00	076BA1	7F/7F/7F	30/30/30/30
428	   Xylophone    	10	01	0	067759	47759	0B	00	076BAC	7F/7F/7F	31/31/31/31
429	 Tubular Bells  	10	01	0	067810	47810	0E	00	076BE3	7F/7F/7F	36/36/36/36
430	 Tubular Bells  	10	01	0	0678C7	478C7	6B	80	0776CD	7F/7F/7F	291/291/291/291
431	 Tubular Bells  	10	01	0	06797E	4797E	6B	80	0776CD	7F/7F/7F	291/291/291/291
432	    Dulcimer    	30	05	0	067A35	47A35	26	01	076E77	7F/7F/7F	97/97/97/97
432	    Dulcimer    	30	05	1	067A86	47A86	26	01	076E77	7F/7F/7F	97/97/97/97
433	 Full Drawbars  	30	01	0	067B3D	47B3D	59	00	07750A	7F/7F/7F	248/248/248/248
434	 Full Drawbars  	30	05	0	067BF4	47BF4	59	00	07750A	7F/7F/7F	248/248/248/248
434	 Full Drawbars  	30	05	1	067C45	47C45	59	00	07750A	7F/7F/7F	248/248/248/248
435	 Full Drawbars  	30	01	0	067CFC	47CFC	59	00	07750A	7F/7F/7F	248/248/248/248
436	 Full Drawbars  	30	01	0	067DB3	47DB3	5B	00	07752B	7F/7F/7F	251/251/251/251
437	   Perc Organ   	30	01	0	067E6A	47E6A	58	00	0774F4	7F/7F/7F	246/246/246/246
438	   Perc Organ   	30	05	0	067F21	47F21	58	00	0774F4	7F/7F/7F	246/246/246/246
438	   Perc Organ   	30	05	1	067F72	47F72	58	00	0774F4	7F/7F/7F	246/246/246/246
439	   Perc Organ   	30	11	0	068029	48029	5B	01	077541	7F/7F/7F	252/252/252/252
439	   Perc Organ   	30	11	1	06807A	4807A	5E	01	077599	7F/7F/7F	260/260/260/260
440	   Rock Organ   	30	01	0	068131	48131	59	00	07750A	7F/7F/7F	248/248/248/248
441	   Pipe Organ   	10	01	0	0681E8	481E8	54	00	077486	7F/7F/7F	236/236/236/236
442	   Pipe Organ   	10	05	0	06829F	4829F	54	00	077486	7F/7F/7F	236/236/236/236
442	   Pipe Organ   	10	05	1	0682F0	482F0	54	00	077486	7F/7F/7F	236/236/236/236
443	   Pipe Organ   	10	05	0	0683A7	483A7	54	00	077486	7F/7F/7F	236/236/236/236
443	   Pipe Organ   	10	05	1	0683F8	483F8	54	00	077486	7F/7F/7F	236/236/236/236
444	   Harmonium    	10	05	0	0684AF	484AF	51	00	0773EC	7F/7F/7F	222/222/222/222
444	   Harmonium    	10	05	1	068500	48500	50	00	0773AA	7F/7F/7F	216/216/216/216
445	   Accordion    	10	01	0	0685B7	485B7	50	00	0773AA	7F/7F/7F	216/216/216/216
446	   Accordion    	10	01	0	06866E	4866E	50	00	0773AA	7F/7F/7F	216/216/216/216
447	   Harmonica    	30	01	0	068725	48725	53	00	077465	7F/7F/7F	233/233/233/233
448	   Bandoneon    	10	05	0	0687DC	487DC	51	00	0773EC	7F/7F/7F	222/222/222/222
448	   Bandoneon    	10	05	1	06882D	4882D	51	00	0773EC	7F/7F/7F	222/222/222/222
449	 Jazz Ac.Guitar 	30	01	0	0688E4	488E4	15	00	076C88	7F/7F/7F	52/52/52/52
450	 Jazz Ac.Guitar 	30	01	0	06899B	4899B	14	00	076C67	7F/7F/7F	49/49/49/49
451	 Jazz Ac.Guitar 	30	01	0	068A52	48A52	15	00	076C88	7F/7F/7F	52/52/52/52
452	 Jazz Ac.Guitar 	30	01	0	068B09	48B09	15	00	076C88	7F/7F/7F	52/52/52/52
453	  Folk Guitar   	30	01	0	068BC0	48BC0	16	00	076C9E	7F/7F/7F	54/54/54/54
454	  Folk Guitar   	30	15	0	068C77	48C77	16	00	076C9E	7F/7F/7F	54/54/54/54
454	  Folk Guitar   	30	15	1	068CC8	48CC8	16	00	076C9E	7F/7F/7F	54/54/54/54
