page	class	chunk	param_ptr	wave_off	rom_start	rom_end	samples	shared	param_record
2	6	69	0x190E	0xCD28	0x2CD280	0x2CDDB0	1432	3	ff/11 ff/19 ff/22 ff/1a ff/14 ff/13 fe/23 ff/23 ff/13 fd/23 fe/25 fc/1a fd/64 ff/2b ff/14 ff/2b fb/13 fe/23 ff/15 fd/23
2	6	70	0x1938	0xCD28	0x2CD280	0x2CDDB0	1432	3	ff/11 ff/19 ff/22 ff/1a ff/14 ff/13 fe/23 ff/23 ff/13 fd/23 fe/25 fc/1a fd/64 ff/2b ff/14 ff/2b fb/13 fe/23 ff/15 fd/23
2	6	71	0x1962	0xCD28	0x2CD280	0x2CDDB0	1432	3	ff/11 ff/19 ff/22 ff/1a ff/14 ff/13 fe/23 ff/23 ff/13 fd/23 fe/25 fc/1a fd/64 ff/2b ff/14 ff/2b fb/13 fe/23 ff/15 fd/23
2	6	72	0x198C	0xCDDB	0x2CDDB0	0x2CDDD0	16	1	fd/10 fd/11 ff/13 fc/13 fc/2b fa/1c ff/1c fc/1c ff/1a fe/1c ff/1d ff/64 ff/23 fc/2b ff/23 fa/23 ff/23 fe/23 fe/2b
2	6	73	0x19B4	0xCDDD	0x2CDDD0	0x2CDDF0	16	1	fd/10 fd/11 ff/13 fc/13 fc/2b fa/1c ff/1c fc/1c ff/1a fe/1c ff/1d ff/64 ff/23 fc/2b ff/23 fa/23 ff/23 fe/23 fe/2b
2	6	74	0x19DC	0xCDDF	0x2CDDF0	0x2CDE10	16	1	fd/10 fd/11 ff/13 fc/13 fc/2b fa/1c ff/1c fc/1c ff/1a fe/1c ff/1d ff/64 ff/23 fc/2b ff/23 fa/23 ff/23 fe/23 fe/2b
2	6	75	0x1A04	0xCDE1	0x2CDE10	0x2CDE30	16	1	ff/0a fe/1a fe/1a fe/1a ff/25 fa/23 ff/23 fd/13 ff/23 ff/2b fb/23 fc/1c fe/1c ff/1d fe/1c fe/1c ff/1c ff/1c ff/a5
2	6	76	0x1A2C	0xCDE3	0x2CDE30	0x2CDE50	16	1	ff/0a fe/1a fe/1a fe/1a ff/25 fa/23 ff/23 fd/13 ff/23 ff/2b fb/23 fc/1c fe/1c ff/1d fe/1c fe/1c ff/1c ff/1c ff/a5
2	6	77	0x1A54	0xCDE5	0x2CDE50	0x2CE9E0	1480	3	ff/0a fe/1a fe/1a fe/1a ff/25 fa/23 ff/23 fd/13 ff/23 ff/2b fb/23 fc/1c fe/1c ff/1d fe/1c fe/1c ff/1c ff/1c ff/a5
2	6	78	0x1A7C	0xCDE5	0x2CDE50	0x2CE9E0	1480	3	ff/0a fe/1a fe/1a fe/1a ff/25 fa/23 ff/23 fd/13 ff/23 ff/2b fb/23 fc/1c fe/1c ff/1d fe/1c fe/1c ff/1c ff/1c ff/a5
2	6	79	0x1AA4	0xCDE5	0x2CDE50	0x2CE9E0	1480	3	ff/0a fe/1a fe/1a fe/1a ff/25 fa/23 ff/23 fd/13 ff/23 ff/2b fb/23 fc/1c fe/1c ff/1d fe/1c fe/1c ff/1c ff/1c ff/a5
2	6	80	0x1ACC	0xCE9E	0x2CE9E0	0x2CEA00	16	1	fe/10 ff/23 ff/23 fe/23 fd/2b fe/2c fb/2c fc/2c fe/2b fe/2c ff/2c fe/2c fb/6c fd/2c ff/2c fe/2c fe/2c fe/2c ff/2c fe/ac
2	6	81	0x1AF6	0xCEA0	0x2CEA00	0x2CEA20	16	1	fd/1a fe/1c fd/1c fe/1c ff/25 fe/25 ff/25 fe/1d f9/25 ff/25 ff/25 ff/25 ff/25 fe/25 ff/25 fc/25 fc/25 fe/25 fc/25
2	6	82	0x1B1E	0xCEA2	0x2CEA20	0x2CEA60	32	2	fd/1a fe/1c fd/1c fe/1c ff/25 fe/25 ff/25 fe/1d f9/25 ff/25 ff/25 ff/25 ff/25 fe/25 ff/25 fc/25 fc/25 fe/25 fc/25
2	6	83	0x1B46	0xCEA2	0x2CEA20	0x2CEA60	32	2	fd/1a fe/1c fd/1c fe/1c ff/25 fe/25 ff/25 fe/1d f9/25 ff/25 ff/25 ff/25 ff/25 fe/25 ff/25 fc/25 fc/25 fe/25 fc/25
2	6	84	0x1B6E	0xCEA6	0x2CEA60	0x2CEA80	16	1	ff/23 ff/23 fe/23 fd/2b fe/2c fb/2c fc/2c fe/2b fe/2c ff/2c fe/2c fb/6c fd/2c ff/2c fe/2c fe/2c fe/2c ff/2c fe/ac
2	6	85	0x1B96	0xCEA8	0x2CEA80	0x2CF610	1480	3	ff/23 ff/23 fe/23 fd/2b fe/2c fb/2c fc/2c fe/2b fe/2c ff/2c fe/2c fb/6c fd/2c ff/2c fe/2c fe/2c fe/2c ff/2c fe/ac
2	6	86	0x1BBE	0xCEA8	0x2CEA80	0x2CF610	1480	3	ff/23 ff/23 fe/23 fd/2b fe/2c fb/2c fc/2c fe/2b fe/2c ff/2c fe/2c fb/6c fd/2c ff/2c fe/2c fe/2c fe/2c ff/2c fe/ac
2	6	87	0x1BE6	0xCEA8	0x2CEA80	0x2CF610	1480	3	ff/23 ff/23 fe/23 fd/2b fe/2c fb/2c fc/2c fe/2b fe/2c ff/2c fe/2c fb/6c fd/2c ff/2c fe/2c fe/2c fe/2c ff/2c fe/ac
2	6	88	0x1C0E	0xCF61	0x2CF610	0x2CF630	16	1	fc/08 fe/1a ff/1c ff/1c f8/2c ff/2c f9/2c f8/1c ff/25 ff/25 fe/25 fa/25 ff/25 fd/25 ff/25 fc/25 fe/25 fe/25
2	6	89	0x1C34	0xCF63	0x2CF630	0x2CF650	16	1	ff/11 fd/23 ff/23 fd/23 ff/25 ff/25 fe/25 fc/2b ff/2c f9/2c fe/6c ff/2c fe/2c ff/2c fc/2c fd/2c ff/2c fe/ac
2	6	90	0x1C5A	0xCF65	0x2CF650	0x2CF670	16	1	ff/11 fd/23 ff/23 fd/23 ff/25 ff/25 fe/25 fc/2b ff/2c f9/2c fe/6c ff/2c fe/2c ff/2c fc/2c fd/2c ff/2c fe/ac
2	6	91	0x1C80	0xCF67	0x2CF670	0x2CF690	16	1	ff/11 fd/23 ff/23 fd/23 ff/25 ff/25 fe/25 fc/2b ff/2c f9/2c fe/6c ff/2c fe/2c ff/2c fc/2c fd/2c ff/2c fe/ac
2	6	92	0x1CA6	0xCF69	0x2CF690	0x2CF6F0	48	2	ff/11 fd/23 ff/23 fd/23 ff/25 ff/25 fe/25 fc/2b ff/2c f9/2c fe/6c ff/2c fe/2c ff/2c fc/2c fd/2c ff/2c fe/ac
2	6	93	0x1CCC	0xCF69	0x2CF690	0x2CF6F0	48	2	ff/11 fd/23 ff/23 fd/23 ff/25 ff/25 fe/25 fc/2b ff/2c f9/2c fe/6c ff/2c fe/2c ff/2c fc/2c fd/2c ff/2c fe/ac
2	6	94	0x1CF2	0xCF6F	0x2CF6F0	0x2D0300	1544	2	fd/23 ff/23 fd/23 ff/25 ff/25 fe/25 fc/2b ff/2c f9/2c fe/6c ff/2c fe/2c ff/2c fc/2c fd/2c ff/2c fe/ac
2	6	95	0x1D16	0xCF6F	0x2CF6F0	0x2D0300	1544	2	fd/23 ff/23 fd/23 ff/25 ff/25 fe/25 fc/2b ff/2c f9/2c fe/6c ff/2c fe/2c ff/2c fc/2c fd/2c ff/2c fe/ac
2	6	96	0x1D3A	0xD030	0x2D0300	0x2D0320	16	1	ff/08 fe/08 fe/23 fe/23 fe/25 ff/25 fd/25 e0/25 fe/6d ff/2c fe/2c fe/2c ff/2c ff/2c
2	6	97	0x1D58	0xD032	0x2D0320	0x2D0380	48	3	ff/01 ff/19 fe/1c fe/2c ff/2c ff/2c ff/2c fe/2c f8/25 fd/25 ff/25 fd/25 f9/25 fe/ad
2	6	98	0x1D76	0xD032	0x2D0320	0x2D0380	48	3	ff/01 ff/19 fe/1c fe/2c ff/2c ff/2c ff/2c fe/2c f8/25 fd/25 ff/25 fd/25 f9/25 fe/ad
2	6	99	0x1D94	0xD032	0x2D0320	0x2D0380	48	3	ff/01 ff/19 fe/1c fe/2c ff/2c ff/2c ff/2c fe/2c f8/25 fd/25 ff/25 fd/25 f9/25 fe/ad
2	6	100	0x1DB2	0xD038	0x2D0380	0x2D03E0	48	2	ff/19 fe/1c fe/2c ff/2c ff/2c ff/2c fe/2c f8/25 fd/25 ff/25 fd/25 f9/25 fe/ad
2	6	101	0x1DCE	0xD038	0x2D0380	0x2D03E0	48	2	ff/19 fe/1c fe/2c ff/2c ff/2c ff/2c fe/2c f8/25 fd/25 ff/25 fd/25 f9/25 fe/ad
2	6	102	0x1DEA	0xD03E	0x2D03E0	0x2D0F30	1448	2	fe/1c fe/2c ff/2c ff/2c ff/2c fe/2c f8/25 fd/25 ff/25 fd/25 f9/25 fe/ad
2	6	103	0x1E04	0xD03E	0x2D03E0	0x2D0F30	1448	2	fe/1c fe/2c ff/2c ff/2c ff/2c fe/2c f8/25 fd/25 ff/25 fd/25 f9/25 fe/ad
2	6	104	0x1E1E	0xD0F3	0x2D0F30	0x2D0F50	16	1	ff/11 ff/13 f8/13 fa/13 ff/1c fe/14 f9/23 fc/23 fa/13 ff/13 fc/5b fe/1c ff/1c ff/1c fe/1a
2	6	105	0x1E3E	0xD0F5	0x2D0F50	0x2D0F70	16	1	ff/11 ff/13 f8/13 fa/13 ff/1c fe/14 f9/23 fc/23 fa/13 ff/13 fc/5b fe/1c ff/1c ff/1c fe/1a
2	6	106	0x1E5E	0xD0F7	0x2D0F70	0x2D0FF0	64	4	ff/1a fd/1a ff/1a ff/22 fe/23 ff/1a ff/1c fe/1c fe/1a fe/1a ff/23 f2/23 ff/23 fe/13 f9/9b
2	6	107	0x1E7E	0xD0F7	0x2D0F70	0x2D0FF0	64	4	ff/1a fd/1a ff/1a ff/22 fe/23 ff/1a ff/1c fe/1c fe/1a fe/1a ff/23 f2/23 ff/23 fe/13 f9/9b
2	6	108	0x1E9E	0xD0F7	0x2D0F70	0x2D0FF0	64	4	ff/1a fd/1a ff/1a ff/22 fe/23 ff/1a ff/1c fe/1c fe/1a fe/1a ff/23 f2/23 ff/23 fe/13 f9/9b
2	6	109	0x1EBE	0xD0F7	0x2D0F70	0x2D0FF0	64	4	ff/1a fd/1a ff/1a ff/22 fe/23 ff/1a ff/1c fe/1c fe/1a fe/1a ff/23 f2/23 ff/23 fe/13 f9/9b
2	6	110	0x1EDE	0xD0FF	0x2D0FF0	0x2D1010	16	1	f8/13 fa/13 ff/1c fe/14 f9/23 fc/23 fa/13 ff/13 fc/5b fe/1c ff/1c ff/1c fe/1a
2	6	111	0x1EFA	0xD101	0x2D1010	0x2D1B60	1448	1	f8/13 fa/13 ff/1c fe/14 f9/23 fc/23 fa/13 ff/13 fc/5b fe/1c ff/1c ff/1c fe/1a
2	6	112	0x1F16	0xD1B6	0x2D1B60	0x2D1BE0	64	1	
2	6	113	0x1F18	0xD1BE	0x2D1BE0	0x2D1C60	64	1	
2	6	114	0x1F1A	0xD1C6	0x2D1C60	0x2D1CE0	64	1	
2	6	115	0x1F1C	0xD1CE	0x2D1CE0	0x2D1D60	64	1	
2	6	116	0x1F1E	0xD1D6	0x2D1D60	0x2D1DE0	64	1	
2	6	117	0x1F20	0xD1DE	0x2D1DE0	0x2D1E60	64	1	
2	6	118	0x1F22	0xD1E6	0x2D1E60	0x2D1EE0	64	1	
2	6	119	0x1F24	0xD1EE	0x2D1EE0	0x2D1F60	64	1	
2	6	120	0x1F26	0xD1F6	0x2D1F60	0x2D1FE0	64	1	
2	6	121	0x1F28	0xD1FE	0x2D1FE0	0x2D2060	64	1	
2	6	122	0x1F2A	0xD206	0x2D2060	0x2D20E0	64	1	
2	6	123	0x1F2C	0xD20E	0x2D20E0	0x2D2160	64	1	
2	6	124	0x1F2E	0xD216	0x2D2160	0x2D21E0	64	1	
2	6	125	0x1F30	0xD21E	0x2D21E0	0x2D2260	64	1	
2	6	126	0x1F32	0xD226	0x2D2260	0x2D22E0	64	1	
2	6	127	0x1F34	0xD22E	0x2D22E0	0x2D2360	64	1	
2	6	128	0x1F36	0xD236	0x2D2360	0x2D23E0	64	1	
2	6	129	0x1F38	0xD23E	0x2D23E0	0x2D2460	64	1	
2	6	130	0x1F3A	0xD246	0x2D2460	0x2D24E0	64	1	
2	6	131	0x1F3C	0xD24E	0x2D24E0	0x2D2560	64	1	
2	6	132	0x1F3E	0xD256	0x2D2560	0x2D25E0	64	1	
2	6	133	0x1F40	0xD25E	0x2D25E0	0x2D2660	64	1	
2	6	134	0x1F42	0xD266	0x2D2660	0x2D26E0	64	1	
2	6	135	0x1F44	0xD26E	0x2D26E0	0x2D2760	64	1	
2	6	136	0x1F46	0xD276	0x2D2760	0x2D27E0	64	1	
2	6	137	0x1F48	0xD27E	0x2D27E0	0x2D2860	64	1	
2	6	138	0x1F4A	0xD286	0x2D2860	0x2D28E0	64	1	
2	6	139	0x1F4C	0xD28E	0x2D28E0	0x2D2960	64	1	
2	6	140	0x1F4E	0xD296	0x2D2960	0x2D29E0	64	1	
2	6	141	0x1F50	0xD29E	0x2D29E0	0x2D2A60	64	1	
2	6	142	0x1F52	0xD2A6	0x2D2A60	0x2D2AE0	64	1	
2	6	143	0x1F54	0xD2AE	0x2D2AE0	0x2D2B60	64	1	
2	6	144	0x1F56	0xD2B6	0x2D2B60	0x2D2BE0	64	1	
2	6	145	0x1F58	0xD2BE	0x2D2BE0	0x2D2C60	64	1	
2	6	146	0x1F5A	0xD2C6	0x2D2C60	0x2D2CE0	64	1	
2	6	147	0x1F5C	0xD2CE	0x2D2CE0	0x2D2D60	64	1	
2	6	148	0x1F5E	0xD2D6	0x2D2D60	0x2D2DE0	64	1	
2	6	149	0x1F60	0xD2DE	0x2D2DE0	0x2D2E60	64	1	
2	6	150	0x1F62	0xD2E6	0x2D2E60	0x2D2EE0	64	1	
2	6	151	0x1F64	0xD2EE	0x2D2EE0	0x2D2F60	64	1	
2	6	152	0x1F66	0xD2F6	0x2D2F60	0x2D2FE0	64	1	
