=== 241 segments across 12 runs ===
verdicts: FAIL=0  SUSPECT=0  WATCH=0  PASS=241
verdict  run  effect                                   fpeak%FS  clip frail  DACpk  upl  why
PASS     S1   SoundDSP/Enhancer/Enhancer5                   5.1     0     0    926  158  
PASS     S2   SoundDSP/Vibrato/Vibrato4                     5.1     0     0    926  198  
PASS     S2   SoundDSP/Tremolo/Tremolo8                     5.1     0     0   1013  186  
PASS     S4   SoundDSP/Flanger/Deep8                        5.1     0     0   1067  248  
PASS     S4   SoundDSP/PhaserDryWet/Dry/Wet 5               5.1     0     0   1065  222  
PASS     S4   SoundDSP/Phaser/Deep1                         5.1     0     0    975  728  
PASS     S4   SoundDSP/Phaser/Deep3                         5.1     0     0   1108  222  
PASS     S5   SoundDSP/AutoWah/Wah1                         5.1     0     0   1019  390  
PASS     R1B  Chorus/GM Chorus4                             5.0     0     0    961  647  
PASS     M1   Multi/CrossDelay/Shallow2                     5.0     0     0    961  178  
PASS     M1   Multi/SlowAttacker/Slow Attacker3             5.0     0     0    961   90  
PASS     M2   Multi/DistortedAmp/Normal1                    5.0     0     0    961  633  
PASS     M3   Multi/Overdrive/Bright                        5.0     0     0    961  667  
PASS     M3   Multi/LFOFilter/For 2Beat 2                   5.0     0     0    961  210  
PASS     M4   Multi/LFOWah/For 2Beat 2                      5.0     0     0    961  210  
PASS     S2   SoundDSP/AutoPan/Auto Pan4                    5.0     0     0   1034  210  
PASS     S2   SoundDSP/Tremolo/Tremolo4                     5.0     0     0   1060  186  
PASS     S3   SoundDSP/RockRotary/Standard                  5.0     0     0   1088  598  
PASS     S3   SoundDSP/RockRotary/Single Rotor              5.0     0     0    924  192  
PASS     S3   SoundDSP/RockRotary/Distorted                 5.0     0     0   1010  192  
PASS     S3   SoundDSP/RockRotary/Bright Twin               5.0     0     0    943  604  
PASS     S3   SoundDSP/RotarySpeaker/Distorted              5.0     0     0   1063  192  
PASS     S4   SoundDSP/PhaserDryWet/Dry/Wet 2               5.0     0     0   1019  222  
PASS     S5   SoundDSP/Celeste/Celeste4                     5.0     0     0   1036  162  
PASS     S2   SoundDSP/AutoPan/Auto Pan6                    4.9     0     0   1083  210  
PASS     R1B  Chorus/GM Chorus1                             4.9     0     0    963  594  
PASS     M1   Multi/DualDelay/Deep2                         4.9     0     0    961  178  
PASS     M1   Multi/DualDelay/Deep4                         4.9     0     0    961  178  
PASS     M2   Multi/Limiter/Limiter1                        4.9     0     0    961  361  
PASS     S1   SoundDSP/Mixup/Mixup2                         4.9     0     0   1045  210  
PASS     S1   SoundDSP/RingModulator/Ring Mod.2             4.9     0     0    994  186  
PASS     S5   SoundDSP/AutoWah/Wah2                         4.9     0     0    952  102  
PASS     R1B  Chorus/Chorus4                                4.9     0     0    900  282  
PASS     M1   Multi/CrossDelay/Shallow6                     4.9     0     0    900  178  
PASS     S2   SoundDSP/Vibrato/Vibrato2                     4.8     0     0   1050  198  
PASS     M1   Multi/DualDelay/Deep3                         4.7     0     0    959  178  
PASS     M4   Multi/LFOWah/For 4Beat 1                      4.7     0     0    959  210  
PASS     S1   SoundDSP/ParametricEQ/Radio                   4.7     0     0    899  306  
PASS     S3   SoundDSP/RockRotary/Brilliant Twin            4.7     0     0    897  604  
PASS     S4   SoundDSP/Flanger/Deep2                        4.7     0     0   1059  248  
PASS     S5   SoundDSP/Celeste/Celeste7                     4.7     0     0   1037  162  
PASS     M5   Multi/DelayComplex/Comp+Ovd+Delay             4.7     0     0    897  688  
PASS     S2   SoundDSP/Vibrato/Vibrato6                     4.7     0     0    933  198  
PASS     S5   SoundDSP/ModCeleste/Mod. Cel.3                4.7     0     0    891  186  
PASS     M4   Multi/ReverseWah/Wah8                         4.7     0     0    962  102  
PASS     M5   Multi/DelayComplex/Comp+Dst+Delay             4.7     0     0    962  688  
PASS     S1   SoundDSP/Enhancer/Enhancer6                   4.7     0     0    966  158  
