kn5000_subcpu_boot.ic30 ROM NEEDS REDUMP
kn5000_rhythm_data_rom.ic14 ROM NEEDS REDUMP
kn5000_waveform_rom.ic307 ROM NEEDS REDUMP
kn5000_waveform_rom.ic307 ROM NEEDS REDUMP
kn5000_waveform_rom.ic307 ROM NEEDS REDUMP
WARNING: the machine might not run correctly.
P9 t=108 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=109 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=110 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=111 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=112 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=113 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=114 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=115 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=116 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=117 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=118 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=119 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=120 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=121 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=122 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=123 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=124 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=125 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=126 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=127 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=128 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=129 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=130 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=131 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=132 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=133 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=134 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=135 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=136 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=137 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=138 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=139 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=140 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=141 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=142 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=143 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=144 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=145 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=146 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=147 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=148 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=149 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=150 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=151 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=152 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=153 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=154 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=155 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=156 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=157 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=158 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=159 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=160 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=161 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=162 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=163 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=164 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=165 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=166 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=167 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=168 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=169 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=170 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=171 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=172 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=173 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=174 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=175 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=176 transport=00 subtick=00 wd=00 acc=00 8d38=01
P9 t=177 transport=00 subtick=00 wd=00 acc=00 8d38=01
