# KN7000 self-loaded library ROM (0x4C000000) entry points called by the firmware
# NOTE: 0x4C000000 is NOT undumped -- the boot copies this code from the program
# flash (0x487B8FD1..) into 0x8C000000, aliased to 0x4C000000. See library-rom-loading.md.
# address     calls  distinct_call_sites
0x4C02BA14      1  1
0x4C0370F5      2  2
0x4C03713A      1  1
0x4C037244      1  1
0x4C037398      2  2
0x4C0376A5      2  2
0x4C037F5A      1  1
0x4C038069      1  1
0x4C0384C4      2  2
0x4C0384D9      1  1
0x4C0384EE      1  1
0x4C038503      1  1
0x4C038515      1  1
0x4C038592      1  1
0x4C038674      2  2
0x4C03B67C      4  4
0x4C03B896      1  1
0x4C03B902      9  9
0x4C03BB8F      1  1
0x4C03BF3C     11  11
0x4C03C017      2  2
0x4C03C0E4      4  4
0x4C03C20F      1  1
0x4C03C412      1  1
0x4C03C470      1  1
0x4C03C5AF     17  17
0x4C03C7EF      8  8
0x4C03C8D5      2  2
0x4C03C959      1  1
0x4C03CA58     20  20
0x4C03CB51      1  1
0x4C03CC4E      1  1
0x4C03CD7F     31  31
0x4C03CEAE      1  1
0x4C03CFBA      2  2
0x4C03D0C8      9  9
0x4C03D219     23  23
0x4C03D36D      7  7
0x4C03D47E      4  4
0x4C03D5A1      3  3
0x4C03D6BC     58  58
0x4C03D7E2      8  8
0x4C03D8AB      9  9
0x4C03D968      2  2
0x4C03DAA1      8  8
0x4C03DB26     16  16
0x4C03DC38      6  6
0x4C03DC8A      1  1
0x4C03DCBF      1  1
0x4C03DCC8     42  42
0x4C03DCFA     54  54
0x4C03DD3F     34  34
0x4C03DD74    115  115
0x4C03DE26      1  1
